Student,required_hours,total_hours_completed,attendance_rate,hours_completed_ratio,late_count,absent_count,total_tasks_logged,total_task_hours,number_of_distinct_competencies,hours_software_development,hours_machine_learning_engineering,hours_it_related_research,hours_ux_ui_design,hours_information_security_analysis,hours_networking,hours_technical_support,hours_data_analysis,hours_customer_service,hours_data_entry_management,hours_office_work,total_chatbot_queries,chatbot_queries_last_30_days,weekly_progress_grade,narrative_report_grade,coordinator_eval_grade,supervisor_eval_grade,has_weekly_progress_grade,has_narrative_report_grade,has_coordinator_eval_grade,has_supervisor_eval_grade,final_ojt_grade,risk_level
Student_15,240,3.9,14.7,0.016,0,29,4,15.7,3,0.0,2.0,0.0,6.1,0.0,0.0,7.6,0.0,0.0,0.0,0.0,2,0,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_16,300,6.8,14.3,0.023,1,30,9,38.2,2,9.5,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_17,200,89.7,65.4,0.448,0,9,77,227.6,10,9.7,27.0,3.1,7.6,0.0,2.3,52.0,6.1,55.0,43.1,21.7,2,0,73.9,93.1,92.7,68.1,1,1,1,1,79.18,MEDIUM
Student_18,486,75.8,40.0,0.156,1,36,12,36.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,50.0,62.5,52.2,50.0,1,1,1,1,52.94,HIGH
Student_19,486,12.0,30.9,0.025,0,38,5,15.9,2,0.0,0.0,0.0,5.7,0.0,0.0,10.2,0.0,0.0,0.0,0.0,4,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_20,200,31.1,33.3,0.156,1,18,34,56.7,6,1.1,4.9,16.2,14.5,0.0,5.9,14.0,0.0,0.0,0.0,0.0,8,3,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_21,240,99.9,74.2,0.416,2,8,67,291.1,9,31.4,18.6,13.9,11.8,0.0,75.5,33.2,13.8,5.6,87.1,0.0,9,4,73.4,55.6,60.6,98.7,1,1,1,1,77.4,MEDIUM
Student_22,600,460.8,87.3,0.768,0,10,55,131.7,6,1.1,7.6,0.0,0.0,20.0,86.3,0.0,0.0,0.0,12.4,4.3,5,1,87.5,93.1,72.6,80.0,1,1,1,1,82.64,MEDIUM
Student_23,300,120.3,63.6,0.401,0,16,18,31.4,4,6.7,0.0,0.0,16.1,0.0,0.0,7.5,0.0,1.1,0.0,0.0,8,3,50.0,75.5,73.3,65.4,1,1,1,1,65.92,HIGH
Student_24,486,236.1,73.2,0.486,3,15,31,112.5,4,0.0,0.0,18.8,0.0,0.0,36.5,0.0,47.5,9.7,0.0,0.0,8,3,50.0,98.6,94.4,84.1,1,1,1,1,82.24,MEDIUM
Student_25,400,178.6,73.7,0.446,3,15,56,178.0,6,0.0,36.7,0.0,0.0,37.0,0.0,38.9,0.0,54.9,2.1,8.6,9,2,79.3,73.7,72.1,82.9,1,1,1,1,78.18,MEDIUM
Student_26,400,223.5,70.4,0.559,0,16,64,273.4,7,102.3,54.1,0.0,19.1,17.1,0.0,0.0,59.9,0.0,5.2,15.7,6,1,72.4,100.0,97.5,86.0,1,1,1,1,88.38,LOW
Student_27,200,177.1,89.7,0.886,0,3,74,230.5,8,12.6,0.0,38.4,0.4,21.9,0.0,27.8,0.0,56.3,60.4,12.7,10,5,82.9,100.0,97.1,88.0,1,1,1,1,91.2,LOW
Student_28,240,17.2,21.9,0.072,0,25,3,8.4,1,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_29,486,0.0,0.0,0.0,0,67,22,55.9,4,0.0,0.0,3.7,12.9,0.0,7.5,0.0,0.0,0.0,31.8,0.0,2,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_30,300,19.1,22.9,0.064,0,27,22,88.7,2,57.8,0.0,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,5,2,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_31,300,74.2,52.4,0.247,0,20,62,308.1,9,30.2,47.4,14.6,29.0,16.6,5.7,0.0,92.4,0.0,24.0,48.2,14,2,50.0,62.4,68.6,0.0,1,1,1,0,36.2,HIGH
Student_32,400,158.1,73.3,0.395,1,12,76,127.9,7,18.4,0.0,0.6,8.9,0.0,19.0,28.2,48.5,0.0,0.0,4.3,5,2,66.8,85.9,71.0,86.0,1,1,1,1,79.14,MEDIUM
Student_33,600,221.0,62.4,0.368,2,32,28,92.9,3,0.0,18.2,0.0,0.0,0.0,0.0,24.5,50.2,0.0,0.0,0.0,13,7,50.0,61.2,58.6,65.6,1,1,1,1,60.2,HIGH
Student_34,600,166.4,62.0,0.277,1,30,32,121.3,2,0.0,0.0,0.0,0.0,0.0,0.0,52.3,0.0,69.0,0.0,0.0,0,0,50.0,53.0,50.0,57.6,1,1,1,1,53.64,HIGH
Student_35,400,150.5,60.8,0.376,0,20,30,70.2,5,0.0,0.0,0.0,21.8,8.6,16.4,18.2,5.1,0.0,0.0,0.0,5,2,50.0,75.5,58.1,80.7,1,1,1,1,69.0,HIGH
Student_36,240,157.9,100.0,0.658,0,0,32,94.2,9,11.5,1.2,31.8,0.0,14.7,5.7,11.2,15.8,0.8,1.5,0.0,9,5,76.8,87.2,98.5,87.1,1,1,1,1,87.34,LOW
Student_37,300,109.1,65.9,0.364,0,15,30,137.3,4,0.0,5.7,0.0,0.0,28.4,0.0,0.0,0.0,0.0,43.0,60.2,7,4,51.0,73.5,71.9,61.9,1,1,1,1,64.04,HIGH
Student_38,400,106.1,50.0,0.265,0,27,21,66.4,4,0.0,8.4,0.0,0.0,27.7,0.0,13.0,0.0,17.3,0.0,0.0,7,3,50.0,50.0,50.0,56.4,1,1,1,1,52.56,HIGH
Student_39,200,25.1,32.1,0.126,1,19,6,16.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_40,240,109.0,78.6,0.454,0,6,49,88.0,7,0.0,16.5,5.3,16.9,0.0,33.5,0.0,5.5,1.3,9.0,0.0,8,2,68.5,54.3,80.1,80.7,1,1,1,1,72.86,HIGH
Student_41,200,64.5,40.7,0.322,0,16,22,35.1,4,5.8,0.0,0.0,0.0,21.5,0.0,0.0,0.0,3.8,4.1,0.0,3,0,50.0,60.3,59.7,50.4,1,1,1,1,54.16,HIGH
Student_42,486,274.3,84.5,0.564,0,9,59,189.5,7,0.0,0.0,0.0,21.0,6.2,27.7,12.1,0.0,79.9,27.4,15.2,39,24,81.5,76.7,79.4,92.6,1,1,1,1,84.56,MEDIUM
Student_43,200,72.7,72.0,0.364,2,7,51,254.3,5,0.0,35.7,0.0,46.8,123.7,0.0,38.1,10.1,0.0,0.0,0.0,9,6,50.0,50.0,53.0,77.9,1,1,1,1,61.76,HIGH
Student_44,300,52.7,42.5,0.176,1,23,12,51.9,6,7.8,0.0,0.0,19.4,1.0,0.0,3.3,0.0,4.2,16.3,0.0,4,0,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_45,600,451.6,82.6,0.753,0,12,32,134.8,6,18.6,0.0,32.9,13.8,5.6,34.6,0.0,0.0,0.0,0.0,29.3,7,4,72.4,83.6,82.1,96.3,1,1,1,1,86.14,LOW
Student_46,300,143.7,73.2,0.479,0,11,44,213.3,8,15.9,0.0,0.0,37.8,4.5,24.8,46.8,15.7,0.0,41.1,26.7,17,4,62.5,87.9,87.1,94.3,1,1,1,1,85.22,LOW
Student_47,486,11.5,17.5,0.024,1,52,14,27.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_48,200,79.3,65.4,0.396,0,9,51,87.2,9,2.0,6.7,10.7,0.0,5.7,16.5,14.2,13.0,7.2,0.0,11.2,7,1,50.0,63.5,58.1,74.1,1,1,1,1,63.96,HIGH
Student_49,600,198.2,54.4,0.33,0,36,77,168.6,10,51.5,13.9,4.8,20.5,11.4,6.9,19.8,0.0,10.1,13.6,16.2,6,3,50.0,73.7,70.5,63.5,1,1,1,1,64.24,HIGH
Student_50,300,23.1,22.7,0.077,0,34,9,44.8,1,0.0,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_51,300,92.4,48.6,0.308,0,18,16,40.6,4,0.0,10.1,0.0,0.0,0.0,0.0,4.3,21.7,0.0,4.5,0.0,19,8,50.0,87.6,85.9,55.2,1,1,1,1,66.78,HIGH
Student_52,486,14.0,23.3,0.029,1,46,10,43.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_53,200,154.8,92.0,0.774,0,2,67,266.6,6,0.0,0.0,76.7,63.2,10.9,8.6,0.0,0.0,0.0,23.5,83.6,4,2,88.1,81.6,91.3,100.0,1,1,1,1,92.2,LOW
Student_54,200,57.8,61.5,0.289,2,10,30,116.1,5,0.0,0.0,0.0,31.5,0.0,0.0,21.3,0.0,25.7,27.5,10.1,8,3,50.0,55.5,61.0,63.7,1,1,1,1,58.78,HIGH
Student_55,600,483.0,82.4,0.805,2,15,78,268.7,6,0.0,27.0,0.0,0.0,38.6,30.1,29.4,96.4,0.0,0.0,47.2,12,4,82.0,100.0,92.1,84.9,1,1,1,1,88.78,LOW
Student_56,486,255.4,86.0,0.526,0,8,27,99.8,7,0.0,7.9,25.8,0.0,18.6,22.1,0.0,6.2,0.0,8.1,11.2,5,3,60.4,94.8,79.4,93.2,1,1,1,1,84.2,MEDIUM
Student_57,240,81.2,63.3,0.338,0,11,22,52.5,6,0.0,3.2,0.0,13.9,0.0,14.2,4.8,0.0,0.0,3.3,13.1,5,2,50.0,67.0,66.1,69.9,1,1,1,1,64.58,HIGH
Student_58,240,248.9,100.0,1.037,0,0,54,148.5,7,4.8,18.4,15.6,0.0,0.0,1.9,28.8,0.0,0.0,24.7,54.3,11,4,95.3,100.0,95.3,100.0,1,1,1,1,98.12,LOW
Student_59,600,238.4,70.1,0.397,0,20,28,80.3,6,0.0,2.9,14.2,23.5,15.2,19.8,0.0,0.0,0.0,4.7,0.0,4,2,65.2,95.9,98.6,94.4,1,1,1,1,89.7,LOW
Student_60,240,7.7,13.8,0.032,0,25,5,21.4,1,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_61,300,201.9,80.5,0.673,1,8,71,199.3,8,28.4,0.0,15.6,44.7,6.3,36.7,11.0,0.0,0.0,24.6,31.9,10,4,87.1,75.3,78.0,90.9,1,1,1,1,84.44,MEDIUM
Student_62,400,259.8,85.5,0.65,5,8,20,68.5,4,0.0,2.7,0.0,19.4,0.0,0.0,0.0,20.7,25.7,0.0,0.0,13,4,50.0,100.0,91.2,74.9,1,1,1,1,78.2,MEDIUM
Student_63,600,270.3,72.7,0.45,1,21,69,274.2,10,3.3,9.1,56.7,48.6,31.2,34.5,37.3,23.7,22.6,7.2,0.0,5,2,53.1,70.8,72.0,73.3,1,1,1,1,68.5,HIGH
Student_64,240,132.5,86.7,0.552,0,4,28,96.4,9,10.9,13.4,0.5,0.0,9.6,10.4,0.0,10.7,6.2,13.5,21.2,1,0,69.4,85.6,75.6,88.2,1,1,1,1,81.4,MEDIUM
Student_65,300,111.5,76.2,0.372,3,10,50,223.3,5,0.0,55.9,4.9,0.0,0.0,55.1,0.0,13.7,93.7,0.0,0.0,23,5,50.0,79.7,61.5,69.0,1,1,1,1,65.84,HIGH
Student_66,240,99.7,70.6,0.415,0,10,24,103.5,2,31.7,0.0,0.0,0.0,0.0,0.0,71.8,0.0,0.0,0.0,0.0,8,3,52.8,64.6,73.5,73.8,1,1,1,1,67.7,HIGH
Student_67,200,108.4,62.1,0.542,1,11,31,133.3,5,5.2,36.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,48.1,29.1,7,4,62.6,56.1,79.0,78.9,1,1,1,1,71.1,HIGH
Student_68,300,86.6,54.1,0.289,1,17,25,42.2,3,0.0,5.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,3,1,50.0,50.0,50.0,56.4,1,1,1,1,52.56,HIGH
Student_69,240,162.3,66.7,0.676,0,11,43,134.6,9,37.0,16.5,4.6,17.7,27.0,2.6,7.8,9.4,0.0,11.9,0.0,3,1,70.7,94.7,77.3,84.6,1,1,1,1,82.38,MEDIUM
Student_70,200,70.2,84.0,0.351,1,4,21,50.7,3,0.0,0.0,0.0,0.0,6.1,0.0,17.0,0.0,0.0,27.6,0.0,5,2,50.0,50.0,67.8,66.9,1,1,1,1,60.32,HIGH
Student_71,400,275.6,93.9,0.689,0,3,31,126.2,8,14.9,7.6,7.7,0.0,19.4,0.0,3.2,18.1,39.9,0.0,15.4,2,0,69.2,100.0,99.5,100.0,1,1,1,1,93.74,LOW
Student_72,400,76.9,42.2,0.192,2,26,28,49.5,6,0.0,0.0,14.7,5.3,4.7,0.0,8.3,0.0,8.0,0.0,8.5,2,0,50.0,75.5,78.1,50.0,1,1,1,1,60.72,HIGH
Student_73,300,57.8,42.9,0.193,1,24,32,155.8,4,7.0,82.5,52.7,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,11,3,50.0,64.4,52.2,54.4,1,1,1,1,55.08,HIGH
Student_74,400,33.5,25.5,0.084,2,38,7,21.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_75,600,367.9,77.9,0.613,0,17,17,37.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,3.1,16,4,56.1,86.6,89.8,78.3,1,1,1,1,77.82,MEDIUM
Student_76,600,287.6,69.0,0.479,0,27,57,87.8,9,10.2,11.9,6.3,0.0,7.1,5.0,9.1,19.9,6.3,0.0,12.0,9,5,66.9,76.3,73.3,100.0,1,1,1,1,83.3,MEDIUM
Student_77,400,57.3,34.0,0.143,1,35,29,57.8,4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,13.6,12.6,26.7,0.0,5,2,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_78,300,198.2,88.6,0.661,0,5,62,222.0,8,1.9,0.0,38.6,0.0,11.2,0.0,40.5,30.4,51.6,37.5,10.3,10,5,100.0,90.3,95.0,86.3,1,1,1,1,91.58,LOW
Student_79,400,114.6,47.2,0.286,1,28,13,52.0,3,0.0,25.0,14.9,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,5,2,50.0,59.1,52.5,52.7,1,1,1,1,53.4,HIGH
Student_80,300,70.8,51.5,0.236,1,16,56,184.8,5,60.3,0.0,30.0,0.0,0.0,0.0,66.1,0.0,0.0,16.8,11.7,12,3,50.0,72.8,63.9,71.9,1,1,1,1,66.1,HIGH
Student_81,600,198.8,68.1,0.331,2,22,15,51.4,4,0.0,9.7,0.0,0.0,0.0,15.9,0.0,18.9,6.9,0.0,0.0,5,3,50.0,74.4,59.8,71.7,1,1,1,1,65.52,HIGH
Student_82,240,157.9,78.8,0.658,2,7,59,280.7,9,53.6,6.9,21.3,16.8,5.6,0.0,12.3,93.2,36.9,0.0,34.2,26,17,70.0,93.4,67.2,81.7,1,1,1,1,78.8,MEDIUM
Student_83,486,238.4,77.3,0.491,0,15,31,74.1,6,1.4,0.0,5.1,0.0,3.4,22.7,12.7,0.0,0.0,28.7,0.0,7,2,50.0,100.0,96.4,72.7,1,1,1,1,78.36,MEDIUM
Student_84,200,105.7,69.0,0.528,0,9,74,327.4,6,0.0,0.0,96.0,0.0,65.1,62.5,58.7,36.4,8.9,0.0,0.0,15,4,73.6,74.6,82.8,69.9,1,1,1,1,74.16,HIGH
Student_85,600,178.9,51.3,0.298,0,37,10,34.4,4,0.0,0.0,0.0,9.9,0.0,0.0,0.0,18.2,0.0,5.6,0.6,12,6,50.0,63.6,60.9,0.0,1,1,1,0,34.9,HIGH
Student_86,200,48.2,52.0,0.241,0,12,14,60.1,5,0.0,0.0,0.0,20.4,13.2,11.2,0.0,7.4,7.9,0.0,0.0,8,3,50.0,61.7,50.0,51.9,1,1,1,1,53.1,HIGH
Student_87,486,68.4,50.9,0.141,2,28,2,6.3,2,5.4,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_88,300,2.2,10.0,0.007,0,36,7,32.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_89,240,5.2,10.7,0.022,0,25,2,8.1,3,0.0,0.0,0.0,0.0,0.0,3.6,1.2,0.0,0.0,0.0,3.3,6,3,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_90,400,183.1,82.0,0.458,7,9,13,26.4,3,0.0,0.0,4.9,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.5,10,6,50.0,58.9,67.7,52.5,1,1,1,1,56.32,HIGH
Student_91,600,155.2,54.7,0.259,2,34,17,76.6,6,15.8,0.0,7.2,0.0,6.3,0.0,3.8,9.6,0.0,34.0,0.0,4,2,50.0,59.5,60.5,60.4,1,1,1,1,58.16,HIGH
Student_92,400,155.1,68.1,0.388,0,15,29,143.1,6,0.0,24.2,0.0,0.0,53.0,11.0,28.0,0.0,1.5,0.0,25.3,4,1,50.0,51.6,50.0,68.4,1,1,1,1,57.68,HIGH
Student_93,600,320.9,80.8,0.535,2,15,71,273.9,5,67.5,0.0,60.0,0.0,0.0,90.9,0.0,42.1,0.0,0.0,13.3,8,2,67.1,74.4,87.6,78.0,1,1,1,1,77.02,MEDIUM
Student_94,240,89.6,70.4,0.373,0,8,52,234.8,10,12.6,39.5,0.0,27.2,29.5,29.3,31.6,2.4,12.5,45.4,4.7,50,26,64.4,67.2,58.9,87.9,1,1,1,1,73.26,HIGH
Student_95,600,38.1,29.9,0.064,1,47,8,16.5,2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,5,1,50.0,51.7,50.0,50.0,1,1,1,1,50.34,HIGH
Student_96,486,128.4,41.7,0.264,0,35,18,46.8,5,20.1,0.0,4.1,3.5,4.4,0.0,0.0,0.0,14.6,0.0,0.0,11,2,50.0,65.2,57.1,0.0,1,1,1,0,34.46,HIGH
Student_97,486,22.1,23.4,0.045,3,49,5,9.5,2,0.0,0.0,1.3,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,5,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_98,200,91.7,68.0,0.458,0,8,48,214.5,7,10.3,16.3,43.2,0.0,0.0,0.0,62.1,23.9,8.4,50.3,0.0,6,3,69.0,100.0,97.8,85.3,1,1,1,1,87.48,LOW
Student_99,240,131.3,78.8,0.547,1,7,72,344.6,7,119.4,0.0,13.1,0.0,13.8,0.0,36.4,0.0,77.7,21.2,63.0,14,3,64.6,94.1,92.2,87.7,1,1,1,1,85.26,LOW
Student_100,600,70.3,39.7,0.117,5,44,30,95.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4,31.2,0.0,0.0,3,0,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_101,486,7.5,7.6,0.015,1,61,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_102,240,99.4,64.3,0.414,0,10,31,75.0,4,10.6,0.0,0.0,0.0,0.0,22.6,0.0,14.4,0.0,27.4,0.0,5,3,50.0,52.1,52.0,67.9,1,1,1,1,57.98,HIGH
Student_103,486,7.2,12.3,0.015,1,50,11,37.0,3,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,2.1,12.6,0.0,3,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_104,486,269.0,82.5,0.553,0,10,49,213.6,10,12.7,28.8,58.8,10.1,3.5,11.0,26.8,40.1,0.0,6.9,14.9,16,8,74.7,81.3,90.0,80.6,1,1,1,1,81.44,MEDIUM
Student_105,400,116.6,59.2,0.292,0,20,33,118.5,8,0.0,18.3,5.4,0.0,13.9,0.0,15.1,11.6,29.1,10.7,14.5,8,2,50.0,75.9,83.0,0.0,1,1,1,0,41.78,HIGH
Student_106,600,102.1,49.4,0.17,0,40,21,50.2,3,0.0,0.0,0.0,0.0,0.0,21.0,22.3,0.0,0.0,0.0,7.0,6,3,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_107,400,66.0,33.3,0.165,1,32,46,141.1,9,6.6,13.5,4.7,6.2,27.1,0.0,0.0,31.9,36.1,5.5,9.4,28,10,50.0,60.2,64.4,65.8,1,1,1,1,61.24,HIGH
Student_108,600,98.7,34.1,0.164,1,56,2,6.6,3,0.0,0.0,2.4,0.0,0.0,2.7,0.0,1.5,0.0,0.0,0.0,17,5,50.0,50.0,50.7,50.0,1,1,1,1,50.14,HIGH
Student_109,400,167.1,52.1,0.418,0,23,25,104.3,8,0.0,0.0,9.6,18.8,23.8,9.3,3.1,20.4,3.0,0.0,16.1,6,3,50.0,75.2,84.1,63.5,1,1,1,1,67.26,HIGH
Student_110,300,33.8,30.6,0.113,0,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_111,200,116.6,80.0,0.583,0,5,16,53.0,5,13.1,0.0,0.0,0.0,0.0,1.6,0.0,0.0,12.6,22.6,3.1,10,2,50.0,85.6,95.6,62.9,1,1,1,1,71.4,HIGH
Student_112,486,3.0,14.5,0.006,0,53,2,9.1,2,0.0,8.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_113,300,8.4,8.8,0.028,0,31,14,65.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0,17,6,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_114,486,11.7,21.4,0.024,3,44,1,3.8,3,0.0,2.1,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,1,0,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_115,486,381.8,92.7,0.786,1,4,31,60.6,9,0.0,2.8,11.6,6.6,0.0,0.7,3.3,9.2,8.7,4.9,12.7,4,2,61.5,89.9,84.4,100.0,1,1,1,1,87.16,LOW
Student_116,200,50.8,46.4,0.254,0,15,24,57.2,6,0.0,5.8,4.5,3.0,0.0,12.5,0.0,7.9,23.5,0.0,0.0,1,0,50.0,64.9,75.5,53.1,1,1,1,1,59.32,HIGH
Student_117,600,345.3,85.9,0.576,2,10,37,72.6,10,3.3,0.0,14.7,12.8,4.8,5.3,8.4,2.5,17.4,2.0,1.5,4,0,58.9,97.9,100.0,100.0,1,1,1,1,91.36,LOW
Student_118,486,77.2,37.5,0.159,0,45,18,88.8,5,0.0,13.4,0.0,0.0,11.4,0.9,0.0,27.4,0.0,0.0,35.8,7,1,50.0,50.0,52.3,60.9,1,1,1,1,54.82,HIGH
Student_119,400,56.8,41.3,0.142,4,27,31,140.2,4,56.6,0.0,0.0,18.8,57.2,0.0,0.0,0.0,7.6,0.0,0.0,8,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
